Unnamed: 0,jstime,valence,arousal,video
39082,1954100,3.563,5.464,8
39083,1954150,3.563,5.492,8
39084,1954200,3.563,5.511,8
39085,1954250,3.563,5.515,8
39086,1954300,3.563,5.515,8
39087,1954350,3.563,5.515,8
39088,1954400,3.563,5.515,8
39089,1954450,3.563,5.515,8
39090,1954500,3.563,5.515,8
39091,1954550,3.563,5.515,8
39092,1954600,3.563,5.515,8
39093,1954650,3.563,5.515,8
39094,1954700,3.563,5.515,8
39095,1954750,3.563,5.515,8
39096,1954800,3.563,5.515,8
39097,1954850,3.563,5.517,8
39098,1954900,3.563,5.517,8
39099,1954950,3.563,5.517,8
39100,1955000,3.563,5.517,8
39101,1955050,3.563,5.52,8
39102,1955100,3.563,5.525,8
39103,1955150,3.563,5.529,8
39104,1955200,3.563,5.537,8
39105,1955250,3.563,5.541,8
39106,1955300,3.563,5.544,8
39107,1955350,3.563,5.549,8
39108,1955400,3.563,5.55,8
39109,1955450,3.563,5.553,8
39110,1955500,3.563,5.556,8
39111,1955550,3.563,5.559,8
39112,1955600,3.563,5.562,8
39113,1955650,3.563,5.567,8
39114,1955700,3.563,5.57,8
39115,1955750,3.563,5.572,8
39116,1955800,3.563,5.575,8
39117,1955850,3.563,5.575,8
39118,1955900,3.563,5.575,8
39119,1955950,3.563,5.575,8
39120,1956000,3.563,5.576,8
39121,1956050,3.563,5.579,8
39122,1956100,3.563,5.58,8
39123,1956150,3.563,5.581,8
39124,1956200,3.563,5.583,8
39125,1956250,3.563,5.584,8
39126,1956300,3.563,5.586,8
39127,1956350,3.563,5.59,8
39128,1956400,3.563,5.592,8
39129,1956450,3.563,5.592,8
39130,1956500,3.563,5.593,8
39131,1956550,3.563,5.596,8
39132,1956600,3.563,5.596,8
39133,1956650,3.563,5.596,8
39134,1956700,3.563,5.596,8
39135,1956750,3.563,5.596,8
39136,1956800,3.563,5.596,8
39137,1956850,3.563,5.596,8
39138,1956900,3.563,5.596,8
39139,1956950,3.563,5.596,8
39140,1957000,3.563,5.596,8
39141,1957050,3.563,5.596,8
39142,1957100,3.563,5.596,8
39143,1957150,3.563,5.596,8
39144,1957200,3.563,5.597,8
39145,1957250,3.563,5.597,8
39146,1957300,3.563,5.599,8
39147,1957350,3.563,5.602,8
39148,1957400,3.563,5.603,8
39149,1957450,3.563,5.605,8
39150,1957500,3.563,5.609,8
39151,1957550,3.563,5.611,8
39152,1957600,3.563,5.614,8
39153,1957650,3.563,5.616,8
39154,1957700,3.563,5.618,8
39155,1957750,3.563,5.619,8
39156,1957800,3.563,5.621,8
39157,1957850,3.563,5.621,8
39158,1957900,3.563,5.623,8
39159,1957950,3.563,5.628,8
39160,1958000,3.563,5.63,8
39161,1958050,3.563,5.63,8
39162,1958100,3.563,5.63,8
39163,1958150,3.563,5.632,8
39164,1958200,3.563,5.636,8
39165,1958250,3.563,5.636,8
39166,1958300,3.563,5.636,8
39167,1958350,3.563,5.637,8
39168,1958400,3.563,5.638,8
39169,1958450,3.563,5.639,8
39170,1958500,3.563,5.64,8
39171,1958550,3.563,5.64,8
39172,1958600,3.563,5.64,8
39173,1958650,3.563,5.64,8
39174,1958700,3.563,5.641,8
39175,1958750,3.563,5.642,8
39176,1958800,3.563,5.642,8
39177,1958850,3.563,5.642,8
39178,1958900,3.563,5.642,8
39179,1958950,3.563,5.642,8
39180,1959000,3.563,5.642,8
39181,1959050,3.563,5.642,8
39182,1959100,3.563,5.642,8
39183,1959150,3.563,5.642,8
39184,1959200,3.563,5.642,8
39185,1959250,3.563,5.643,8
39186,1959300,3.563,5.644,8
39187,1959350,3.563,5.644,8
39188,1959400,3.563,5.644,8
39189,1959450,3.563,5.644,8
39190,1959500,3.563,5.644,8
39191,1959550,3.563,5.644,8
39192,1959600,3.563,5.644,8
39193,1959650,3.563,5.645,8
39194,1959700,3.563,5.645,8
39195,1959750,3.563,5.645,8
39196,1959800,3.563,5.645,8
39197,1959850,3.563,5.645,8
39198,1959900,3.563,5.645,8
39199,1959950,3.563,5.645,8
39200,1960000,3.563,5.645,8
39201,1960050,3.563,5.645,8
39202,1960100,3.563,5.645,8
39203,1960150,3.563,5.645,8
39204,1960200,3.563,5.645,8
39205,1960250,3.563,5.645,8
39206,1960300,3.563,5.645,8
39207,1960350,3.563,5.645,8
39208,1960400,3.563,5.645,8
39209,1960450,3.563,5.645,8
39210,1960500,3.563,5.645,8
39211,1960550,3.563,5.645,8
39212,1960600,3.563,5.645,8
39213,1960650,3.563,5.645,8
39214,1960700,3.563,5.645,8
39215,1960750,3.563,5.645,8
39216,1960800,3.563,5.646,8
39217,1960850,3.563,5.646,8
39218,1960900,3.563,5.647,8
39219,1960950,3.563,5.649,8
39220,1961000,3.563,5.649,8
39221,1961050,3.563,5.649,8
39222,1961100,3.563,5.649,8
39223,1961150,3.563,5.649,8
39224,1961200,3.563,5.649,8
39225,1961250,3.563,5.649,8
39226,1961300,3.563,5.649,8
39227,1961350,3.563,5.649,8
39228,1961400,3.563,5.649,8
39229,1961450,3.563,5.649,8
39230,1961500,3.563,5.649,8
39231,1961550,3.563,5.649,8
39232,1961600,3.563,5.649,8
39233,1961650,3.563,5.649,8
39234,1961700,3.563,5.649,8
39235,1961750,3.563,5.649,8
39236,1961800,3.563,5.649,8
39237,1961850,3.563,5.649,8
39238,1961900,3.563,5.649,8
39239,1961950,3.563,5.649,8
39240,1962000,3.563,5.649,8
39241,1962050,3.563,5.649,8
39242,1962100,3.563,5.649,8
39243,1962150,3.563,5.649,8
39244,1962200,3.563,5.649,8
39245,1962250,3.563,5.649,8
39246,1962300,3.563,5.649,8
39247,1962350,3.563,5.649,8
39248,1962400,3.563,5.649,8
39249,1962450,3.563,5.649,8
39250,1962500,3.563,5.649,8
39251,1962550,3.563,5.649,8
39252,1962600,3.563,5.649,8
39253,1962650,3.563,5.649,8
39254,1962700,3.563,5.649,8
39255,1962750,3.563,5.649,8
39256,1962800,3.563,5.649,8
39257,1962850,3.563,5.649,8
39258,1962900,3.563,5.649,8
39259,1962950,3.563,5.649,8
39260,1963000,3.563,5.649,8
39261,1963050,3.563,5.649,8
39262,1963100,3.563,5.649,8
39263,1963150,3.563,5.649,8
39264,1963200,3.563,5.649,8
39265,1963250,3.563,5.649,8
39266,1963300,3.563,5.649,8
39267,1963350,3.563,5.649,8
39268,1963400,3.563,5.649,8
39269,1963450,3.563,5.649,8
39270,1963500,3.563,5.649,8
39271,1963550,3.563,5.649,8
39272,1963600,3.563,5.649,8
39273,1963650,3.563,5.649,8
39274,1963700,3.563,5.649,8
39275,1963750,3.563,5.649,8
39276,1963800,3.563,5.649,8
39277,1963850,3.563,5.649,8
39278,1963900,3.563,5.649,8
39279,1963950,3.563,5.649,8
39280,1964000,3.563,5.649,8
39281,1964050,3.563,5.649,8
39282,1964100,3.563,5.649,8
39283,1964150,3.563,5.649,8
39284,1964200,3.563,5.649,8
39285,1964250,3.563,5.649,8
39286,1964300,3.563,5.649,8
39287,1964350,3.563,5.649,8
39288,1964400,3.563,5.649,8
39289,1964450,3.563,5.649,8
39290,1964500,3.563,5.649,8
39291,1964550,3.563,5.649,8
39292,1964600,3.563,5.649,8
39293,1964650,3.563,5.649,8
39294,1964700,3.563,5.649,8
39295,1964750,3.563,5.649,8
39296,1964800,3.563,5.649,8
39297,1964850,3.563,5.649,8
39298,1964900,3.563,5.649,8
39299,1964950,3.563,5.649,8
39300,1965000,3.563,5.649,8
39301,1965050,3.563,5.649,8
39302,1965100,3.563,5.649,8
39303,1965150,3.563,5.649,8
39304,1965200,3.563,5.649,8
39305,1965250,3.563,5.649,8
39306,1965300,3.563,5.649,8
39307,1965350,3.563,5.649,8
39308,1965400,3.563,5.649,8
39309,1965450,3.563,5.649,8
39310,1965500,3.563,5.649,8
39311,1965550,3.563,5.649,8
39312,1965600,3.563,5.649,8
39313,1965650,3.563,5.649,8
39314,1965700,3.563,5.649,8
39315,1965750,3.563,5.649,8
39316,1965800,3.563,5.649,8
39317,1965850,3.563,5.649,8
39318,1965900,3.563,5.649,8
39319,1965950,3.563,5.649,8
39320,1966000,3.563,5.649,8
39321,1966050,3.563,5.649,8
39322,1966100,3.563,5.649,8
39323,1966150,3.563,5.649,8
39324,1966200,3.563,5.649,8
39325,1966250,3.563,5.649,8
39326,1966300,3.563,5.649,8
39327,1966350,3.563,5.649,8
39328,1966400,3.563,5.649,8
39329,1966450,3.563,5.649,8
39330,1966500,3.563,5.649,8
39331,1966550,3.563,5.649,8
39332,1966600,3.563,5.649,8
39333,1966650,3.563,5.649,8
39334,1966700,3.563,5.649,8
39335,1966750,3.563,5.649,8
39336,1966800,3.563,5.649,8
39337,1966850,3.563,5.649,8
39338,1966900,3.563,5.649,8
39339,1966950,3.563,5.649,8
39340,1967000,3.563,5.649,8
39341,1967050,3.563,5.649,8
39342,1967100,3.563,5.649,8
39343,1967150,3.563,5.649,8
39344,1967200,3.563,5.649,8
39345,1967250,3.563,5.649,8
39346,1967300,3.563,5.649,8
39347,1967350,3.563,5.649,8
39348,1967400,3.563,5.649,8
39349,1967450,3.563,5.649,8
39350,1967500,3.563,5.649,8
39351,1967550,3.563,5.649,8
39352,1967600,3.563,5.649,8
39353,1967650,3.563,5.649,8
39354,1967700,3.563,5.649,8
39355,1967750,3.563,5.649,8
39356,1967800,3.563,5.649,8
39357,1967850,3.563,5.649,8
39358,1967900,3.563,5.649,8
39359,1967950,3.563,5.649,8
39360,1968000,3.563,5.649,8
39361,1968050,3.563,5.649,8
39362,1968100,3.563,5.649,8
39363,1968150,3.563,5.649,8
39364,1968200,3.563,5.649,8
39365,1968250,3.563,5.649,8
39366,1968300,3.563,5.649,8
39367,1968350,3.563,5.65,8
39368,1968400,3.563,5.65,8
39369,1968450,3.563,5.65,8
39370,1968500,3.563,5.652,8
39371,1968550,3.563,5.655,8
39372,1968600,3.563,5.657,8
39373,1968650,3.563,5.662,8
39374,1968700,3.563,5.665,8
39375,1968750,3.563,5.665,8
39376,1968800,3.563,5.666,8
39377,1968850,3.563,5.666,8
39378,1968900,3.563,5.666,8
39379,1968950,3.563,5.668,8
39380,1969000,3.563,5.67,8
39381,1969050,3.563,5.674,8
39382,1969100,3.563,5.677,8
39383,1969150,3.563,5.679,8
39384,1969200,3.563,5.681,8
39385,1969250,3.563,5.681,8
39386,1969300,3.563,5.681,8
39387,1969350,3.563,5.681,8
39388,1969400,3.563,5.681,8
39389,1969450,3.563,5.681,8
39390,1969500,3.563,5.681,8
39391,1969550,3.563,5.681,8
39392,1969600,3.563,5.681,8
39393,1969650,3.563,5.681,8
39394,1969700,3.563,5.681,8
39395,1969750,3.563,5.681,8
39396,1969800,3.563,5.681,8
39397,1969850,3.563,5.681,8
39398,1969900,3.563,5.681,8
39399,1969950,3.563,5.681,8
39400,1970000,3.563,5.681,8
39401,1970050,3.563,5.681,8
39402,1970100,3.563,5.681,8
39403,1970150,3.563,5.681,8
39404,1970200,3.563,5.681,8
39405,1970250,3.563,5.681,8
39406,1970300,3.563,5.681,8
39407,1970350,3.563,5.681,8
39408,1970400,3.562,5.681,8
39409,1970450,3.562,5.681,8
39410,1970500,3.562,5.681,8
39411,1970550,3.562,5.681,8
39412,1970600,3.562,5.681,8
39413,1970650,3.562,5.681,8
39414,1970700,3.562,5.681,8
39415,1970750,3.562,5.681,8
39416,1970800,3.562,5.681,8
39417,1970850,3.561,5.681,8
39418,1970900,3.56,5.681,8
39419,1970950,3.559,5.681,8
39420,1971000,3.555,5.681,8
39421,1971050,3.55,5.679,8
39422,1971100,3.547,5.672,8
39423,1971150,3.543,5.664,8
39424,1971200,3.538,5.657,8
39425,1971250,3.533,5.641,8
39426,1971300,3.527,5.625,8
39427,1971350,3.517,5.609,8
39428,1971400,3.501,5.599,8
39429,1971450,3.468,5.595,8
39430,1971500,3.419,5.594,8
39431,1971550,3.383,5.594,8
39432,1971600,3.37,5.594,8
39433,1971650,3.369,5.594,8
39434,1971700,3.369,5.594,8
39435,1971750,3.369,5.594,8
39436,1971800,3.369,5.594,8
39437,1971850,3.369,5.594,8
39438,1971900,3.369,5.594,8
39439,1971950,3.369,5.593,8
39440,1972000,3.369,5.589,8
39441,1972050,3.369,5.585,8
39442,1972100,3.369,5.582,8
39443,1972150,3.369,5.579,8
39444,1972200,3.369,5.575,8
39445,1972250,3.369,5.57,8
39446,1972300,3.369,5.569,8
39447,1972350,3.369,5.568,8
39448,1972400,3.369,5.568,8
39449,1972450,3.369,5.568,8
39450,1972500,3.369,5.568,8
39451,1972550,3.369,5.568,8
39452,1972600,3.369,5.567,8
39453,1972650,3.369,5.564,8
39454,1972700,3.369,5.562,8
39455,1972750,3.369,5.558,8
39456,1972800,3.369,5.55,8
39457,1972850,3.369,5.55,8
39458,1972900,3.369,5.547,8
39459,1972950,3.369,5.542,8
39460,1973000,3.369,5.538,8
39461,1973050,3.369,5.538,8
39462,1973100,3.369,5.538,8
39463,1973150,3.369,5.537,8
39464,1973200,3.369,5.536,8
39465,1973250,3.369,5.536,8
39466,1973300,3.369,5.536,8
39467,1973350,3.369,5.536,8
39468,1973400,3.369,5.536,8
39469,1973450,3.369,5.536,8
39470,1973500,3.369,5.536,8
39471,1973550,3.369,5.536,8
39472,1973600,3.369,5.536,8
39473,1973650,3.369,5.536,8
39474,1973700,3.369,5.536,8
39475,1973750,3.369,5.536,8
39476,1973800,3.369,5.536,8
