Unnamed: 0,jstime,valence,arousal,video
16521,826050,1.68,6.908,7
16522,826100,1.68,6.915,7
16523,826150,1.678,6.928,7
16524,826200,1.674,6.934,7
16525,826250,1.671,6.938,7
16526,826300,1.67,6.946,7
16527,826350,1.666,6.955,7
16528,826400,1.66,6.965,7
16529,826450,1.66,6.975,7
16530,826500,1.659,6.982,7
16531,826550,1.654,6.986,7
16532,826600,1.651,6.99,7
16533,826650,1.65,6.995,7
16534,826700,1.649,6.999,7
16535,826750,1.648,7.01,7
16536,826800,1.644,7.02,7
16537,826850,1.639,7.03,7
16538,826900,1.637,7.037,7
16539,826950,1.634,7.045,7
16540,827000,1.631,7.048,7
16541,827050,1.63,7.054,7
16542,827100,1.63,7.057,7
16543,827150,1.628,7.058,7
16544,827200,1.624,7.06,7
16545,827250,1.623,7.06,7
16546,827300,1.622,7.06,7
16547,827350,1.622,7.06,7
16548,827400,1.622,7.06,7
16549,827450,1.621,7.06,7
16550,827500,1.62,7.06,7
16551,827550,1.62,7.06,7
16552,827600,1.62,7.06,7
16553,827650,1.62,7.06,7
16554,827700,1.619,7.06,7
16555,827750,1.619,7.06,7
16556,827800,1.619,7.06,7
16557,827850,1.619,7.06,7
16558,827900,1.619,7.06,7
16559,827950,1.619,7.06,7
16560,828000,1.619,7.06,7
16561,828050,1.619,7.06,7
16562,828100,1.619,7.06,7
16563,828150,1.619,7.06,7
16564,828200,1.619,7.06,7
16565,828250,1.619,7.06,7
16566,828300,1.619,7.06,7
16567,828350,1.619,7.06,7
16568,828400,1.619,7.06,7
16569,828450,1.619,7.06,7
16570,828500,1.619,7.06,7
16571,828550,1.619,7.06,7
16572,828600,1.618,7.06,7
16573,828650,1.618,7.06,7
16574,828700,1.618,7.06,7
16575,828750,1.618,7.061,7
16576,828800,1.618,7.062,7
16577,828850,1.618,7.063,7
16578,828900,1.618,7.063,7
16579,828950,1.618,7.065,7
16580,829000,1.618,7.067,7
16581,829050,1.618,7.07,7
16582,829100,1.618,7.07,7
16583,829150,1.618,7.07,7
16584,829200,1.618,7.07,7
16585,829250,1.617,7.07,7
16586,829300,1.616,7.07,7
16587,829350,1.616,7.071,7
16588,829400,1.616,7.073,7
16589,829450,1.616,7.076,7
16590,829500,1.616,7.076,7
16591,829550,1.614,7.077,7
16592,829600,1.611,7.079,7
16593,829650,1.61,7.079,7
16594,829700,1.609,7.079,7
16595,829750,1.608,7.08,7
16596,829800,1.608,7.083,7
16597,829850,1.608,7.084,7
16598,829900,1.608,7.086,7
16599,829950,1.607,7.091,7
16600,830000,1.605,7.092,7
16601,830050,1.605,7.095,7
