,jstime,valence,arousal,video
42692,2134600,5.0,5.0,7
42693,2134650,5.0,5.002,7
42694,2134700,5.0,5.039,7
42695,2134750,5.0,5.082,7
42696,2134800,5.0,5.082,7
42697,2134850,5.0,5.069,7
42698,2134900,5.0,5.054,7
42699,2134950,5.0,5.054,7
42700,2135000,5.0,5.054,7
42701,2135050,5.0,5.054,7
42702,2135100,5.0,5.054,7
42703,2135150,5.0,5.054,7
42704,2135200,5.0,5.054,7
42705,2135250,5.0,5.054,7
42706,2135300,5.0,5.054,7
42707,2135350,5.0,5.054,7
42708,2135400,5.0,5.054,7
42709,2135450,5.0,5.054,7
42710,2135500,5.0,5.054,7
42711,2135550,5.0,5.054,7
42712,2135600,5.0,5.05,7
42713,2135650,5.0,5.045,7
42714,2135700,5.0,5.045,7
42715,2135750,5.0,5.045,7
42716,2135800,5.0,5.045,7
42717,2135850,5.0,5.045,7
42718,2135900,5.0,5.045,7
42719,2135950,5.0,5.045,7
42720,2136000,5.0,5.045,7
42721,2136050,5.0,5.045,7
42722,2136100,5.0,5.045,7
42723,2136150,5.0,5.045,7
42724,2136200,5.0,5.045,7
42725,2136250,5.0,5.045,7
42726,2136300,5.0,5.045,7
42727,2136350,5.0,5.045,7
42728,2136400,5.0,5.045,7
42729,2136450,5.0,5.045,7
42730,2136500,5.0,5.045,7
42731,2136550,5.0,5.045,7
42732,2136600,5.0,5.045,7
42733,2136650,5.0,5.045,7
42734,2136700,5.0,5.045,7
42735,2136750,5.0,5.045,7
42736,2136800,5.0,5.045,7
42737,2136850,5.0,5.045,7
42738,2136900,5.0,5.045,7
42739,2136950,5.0,5.045,7
42740,2137000,5.0,5.045,7
42741,2137050,5.0,5.045,7
42742,2137100,5.0,5.045,7
42743,2137150,5.0,5.045,7
42744,2137200,5.0,5.045,7
42745,2137250,5.0,5.045,7
42746,2137300,5.0,5.045,7
42747,2137350,5.0,5.045,7
42748,2137400,5.0,5.045,7
42749,2137450,5.0,5.045,7
42750,2137500,5.0,5.045,7
42751,2137550,5.0,5.045,7
42752,2137600,5.0,5.045,7
42753,2137650,5.0,5.04,7
42754,2137700,5.0,5.031,7
42755,2137750,5.0,5.02,7
42756,2137800,5.0,5.007,7
42757,2137850,5.0,5.0,7
42758,2137900,5.0,5.0,7
42759,2137950,5.0,5.0,7
42760,2138000,5.0,5.0,7
42761,2138050,5.0,5.0,7
42762,2138100,5.0,5.0,7
42763,2138150,5.0,5.0,7
42764,2138200,5.0,5.0,7
42765,2138250,5.0,5.0,7
42766,2138300,5.0,5.0,7
42767,2138350,5.0,5.0,7
42768,2138400,5.0,5.0,7
42769,2138450,5.0,5.0,7
42770,2138500,5.0,5.0,7
42771,2138550,5.0,5.0,7
42772,2138600,5.0,5.0,7
42773,2138650,5.0,5.0,7
42774,2138700,5.0,5.0,7
42775,2138750,5.0,5.0,7
42776,2138800,5.0,5.0,7
42777,2138850,5.0,5.0,7
42778,2138900,5.0,5.0,7
42779,2138950,5.0,5.0,7
42780,2139000,5.0,5.0,7
42781,2139050,5.0,5.0,7
42782,2139100,5.0,5.0,7
42783,2139150,5.0,5.0,7
42784,2139200,5.0,5.0,7
42785,2139250,5.0,5.0,7
42786,2139300,5.0,5.0,7
42787,2139350,5.0,5.0,7
42788,2139400,5.0,5.0,7
42789,2139450,5.0,5.0,7
42790,2139500,5.0,5.0,7
42791,2139550,5.0,5.0,7
42792,2139600,5.0,5.0,7
42793,2139650,5.0,5.0,7
42794,2139700,5.0,5.0,7
42795,2139750,5.0,5.0,7
42796,2139800,5.0,5.0,7
42797,2139850,5.0,5.0,7
42798,2139900,5.0,5.0,7
42799,2139950,5.0,5.0,7
42800,2140000,5.0,5.0,7
42801,2140050,5.0,5.0,7
42802,2140100,5.0,5.0,7
42803,2140150,5.0,5.0,7
42804,2140200,5.0,5.0,7
42805,2140250,5.0,5.0,7
42806,2140300,5.0,5.0,7
42807,2140350,5.0,5.0,7
42808,2140400,5.0,5.002,7
42809,2140450,5.0,5.006,7
42810,2140500,5.0,5.009,7
42811,2140550,5.0,5.019,7
42812,2140600,5.0,5.034,7
42813,2140650,5.0,5.045,7
42814,2140700,5.0,5.058,7
42815,2140750,5.0,5.073,7
42816,2140800,5.0,5.08,7
42817,2140850,5.0,5.08,7
42818,2140900,5.0,5.08,7
42819,2140950,5.0,5.08,7
