,jstime,valence,arousal,video
37390,1869500,5.0,5.0,7
37391,1869550,5.0,5.0,7
37392,1869600,5.0,5.0,7
37393,1869650,5.0,5.0,7
37394,1869700,5.0,5.0,7
37395,1869750,5.0,5.0,7
37396,1869800,5.0,5.0,7
37397,1869850,5.0,5.0,7
37398,1869900,5.0,5.0,7
37399,1869950,5.0,5.0,7
37400,1870000,5.0,5.0,7
37401,1870050,5.0,5.0,7
37402,1870100,5.0,5.0,7
37403,1870150,5.0,5.0,7
37404,1870200,5.0,5.0,7
37405,1870250,5.0,5.0,7
37406,1870300,5.0,5.0,7
37407,1870350,5.0,5.0,7
37408,1870400,5.0,5.0,7
37409,1870450,5.0,5.0,7
37410,1870500,5.0,5.0,7
37411,1870550,5.0,5.0,7
37412,1870600,5.0,5.0,7
37413,1870650,5.0,5.0,7
37414,1870700,5.0,5.0,7
37415,1870750,5.0,5.0,7
37416,1870800,5.0,5.0,7
37417,1870850,5.0,5.0,7
37418,1870900,5.0,5.0,7
37419,1870950,5.0,5.0,7
37420,1871000,5.0,5.0,7
37421,1871050,5.0,5.0,7
37422,1871100,5.0,5.0,7
37423,1871150,5.0,5.0,7
37424,1871200,5.0,5.0,7
37425,1871250,5.0,5.0,7
37426,1871300,5.0,5.0,7
37427,1871350,5.0,5.0,7
37428,1871400,5.0,5.0,7
37429,1871450,5.0,5.0,7
37430,1871500,5.0,5.0,7
37431,1871550,5.0,5.0,7
37432,1871600,5.0,5.0,7
37433,1871650,5.0,5.0,7
37434,1871700,5.0,5.0,7
37435,1871750,5.0,5.0,7
37436,1871800,5.0,5.0,7
37437,1871850,5.0,5.0,7
37438,1871900,5.0,5.0,7
37439,1871950,5.0,5.0,7
37440,1872000,5.0,5.0,7
37441,1872050,5.0,5.0,7
37442,1872100,5.0,5.0,7
37443,1872150,5.0,5.0,7
37444,1872200,5.0,5.0,7
37445,1872250,5.0,5.0,7
37446,1872300,5.0,5.0,7
37447,1872350,5.0,5.0,7
37448,1872400,5.0,5.0,7
37449,1872450,5.0,5.0,7
37450,1872500,5.0,5.0,7
37451,1872550,5.0,5.0,7
37452,1872600,5.0,5.0,7
37453,1872650,5.0,5.0,7
37454,1872700,5.0,5.0,7
37455,1872750,5.0,5.0,7
37456,1872800,5.0,5.0,7
37457,1872850,5.0,5.0,7
37458,1872900,5.0,5.0,7
37459,1872950,5.0,5.0,7
37460,1873000,5.0,5.0,7
37461,1873050,5.0,5.0,7
37462,1873100,5.0,5.0,7
37463,1873150,5.0,5.0,7
37464,1873200,5.0,5.0,7
37465,1873250,5.0,5.0,7
37466,1873300,5.0,5.0,7
37467,1873350,5.0,5.0,7
37468,1873400,5.0,5.0,7
37469,1873450,5.0,5.0,7
37470,1873500,5.0,5.0,7
37471,1873550,5.0,5.0,7
37472,1873600,5.0,5.0,7
37473,1873650,5.0,5.0,7
37474,1873700,5.0,5.0,7
37475,1873750,5.0,5.0,7
37476,1873800,5.0,5.0,7
37477,1873850,5.0,5.0,7
37478,1873900,5.0,5.0,7
37479,1873950,5.0,5.0,7
37480,1874000,5.0,5.0,7
37481,1874050,5.0,5.0,7
37482,1874100,5.0,5.0,7
37483,1874150,5.0,5.0,7
37484,1874200,5.0,5.0,7
37485,1874250,5.0,5.0,7
